model,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,specificity,cv_f1_mean,cv_f1_std,inference_ms,tp,tn,fp,fn
HistGradientBoosting,0.916,0.8,0.2963,0.4324,0.7538,0.4106,0.4551,0.991,0.4725,0.0895,0.2145,8,221,2,19
Random Forest,0.72,0.2208,0.6296,0.3269,0.7671,0.4294,0.2424,0.7309,0.4063,0.0739,0.805,17,163,60,10
Decision Tree,0.72,0.2208,0.6296,0.3269,0.7562,0.3046,0.2424,0.7309,0.4046,0.081,0.0462,17,163,60,10
XGBoost,0.716,0.2179,0.6296,0.3238,0.7718,0.4676,0.2385,0.7265,0.3987,0.0828,0.1748,17,162,61,10
Logistic Regression,0.644,0.163,0.5556,0.2521,0.6164,0.2066,0.1353,0.6547,0.2885,0.0457,0.0793,15,146,77,12
Majority Baseline,0.892,0.0,0.0,0.0,0.5,0.108,0.0,1.0,0.0,0.0,0.0393,0,223,0,27
