model,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,specificity,cv_f1_mean,cv_f1_std,inference_ms,tp,tn,fp,fn
Logistic Regression,0.992,0.963,0.963,0.963,0.9977,0.9858,0.9585,0.9955,0.9252,0.0482,0.0213,26,222,1,1
HistGradientBoosting,0.992,1.0,0.9259,0.9615,0.9887,0.9602,0.958,1.0,0.9738,0.0248,0.1188,25,223,0,2
XGBoost,0.988,1.0,0.8889,0.9412,0.9894,0.9556,0.9365,1.0,0.9399,0.0549,0.0893,24,223,0,3
Random Forest,0.98,0.9231,0.8889,0.9057,0.9475,0.9338,0.8947,0.991,0.9738,0.0248,0.7648,24,221,2,3
Decision Tree,0.976,0.8889,0.8889,0.8889,0.9437,0.9009,0.8754,0.9865,0.9442,0.0301,0.0167,24,220,3,3
Majority Baseline,0.892,0.0,0.0,0.0,0.5,0.108,0.0,1.0,0.0,0.0,0.0008,0,223,0,27
