model,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,specificity,cv_f1_mean,cv_f1_std,inference_ms,tp,tn,fp,fn
Random Forest,0.7364,0.3905,0.5062,0.4409,0.6897,0.3875,0.276,0.7959,0.3907,0.0176,0.3165,82,499,128,80
Logistic Regression,0.5868,0.2697,0.5926,0.3707,0.6279,0.3225,0.1444,0.5853,0.3852,0.0937,0.0561,96,367,260,66
XGBoost,0.7136,0.314,0.3333,0.3234,0.6838,0.3854,0.142,0.8118,0.3507,0.0623,0.0367,54,509,118,108
Decision Tree,0.4766,0.2128,0.5741,0.3105,0.5048,0.2294,0.0207,0.4514,0.3601,0.0809,0.0131,93,283,344,69
HistGradientBoosting,0.7402,0.3407,0.284,0.3098,0.6913,0.3638,0.1523,0.8581,0.297,0.0508,0.0727,46,538,89,116
Majority Baseline,0.7947,0.0,0.0,0.0,0.5,0.2053,0.0,1.0,0.0,0.0,0.0003,0,627,0,162
